No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_njcaa_season,team_njcaa_division,team_id,team_season
3,Andrew Baker,P,Sophomore,https://www.njcaa.org/sports/bsb/2020-21/div1/players/andrewbakerppnl,andrewbakerppnl,Chipola,2020-21,div1,chipolacollege,2021
4,Jozsef Rohrbacher,C,Sophomore,https://www.njcaa.org/sports/bsb/2020-21/div1/players/jozsefrohrbacherw4km,jozsefrohrbacherw4km,Chipola,2020-21,div1,chipolacollege,2021
5,Cameron Gray,OF,Sophomore,https://www.njcaa.org/sports/bsb/2020-21/div1/players/camerongrayee33,camerongrayee33,Chipola,2020-21,div1,chipolacollege,2021
6,Matthew Garcia,IF,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/matthewgarciab2em,matthewgarciab2em,Chipola,2020-21,div1,chipolacollege,2021
7,Myles Austin,INF,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/mylesaustiner7x,mylesaustiner7x,Chipola,2020-21,div1,chipolacollege,2021
9,Mark Black,C,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/markblackaf6q,markblackaf6q,Chipola,2020-21,div1,chipolacollege,2021
10,Bo Bonds,RHP,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/bobondsbbst,bobondsbbst,Chipola,2020-21,div1,chipolacollege,2021
11,Matthew Corlew,OF/3B,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/matthewcorlew5rln,matthewcorlew5rln,Chipola,2020-21,div1,chipolacollege,2021
13,Drew Howard,RHP,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/drewhoward31py,drewhoward31py,Chipola,2020-21,div1,chipolacollege,2021
14,Seth Dudley,RHP,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/sethdudley2x8f,sethdudley2x8f,Chipola,2020-21,div1,chipolacollege,2021
15,Paxton Tomaini,IF,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/paxtontomainiaetq,paxtontomainiaetq,Chipola,2020-21,div1,chipolacollege,2021
16,Isaiah Bennett,P,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/isaiahbennetta8sh,isaiahbennetta8sh,Chipola,2020-21,div1,chipolacollege,2021
17,Jack Murphy,,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/jackmurphyk1e0,jackmurphyk1e0,Chipola,2020-21,div1,chipolacollege,2021
18,Alfonso Villalobos,IF,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/alfonsovillalobos39ch,alfonsovillalobos39ch,Chipola,2020-21,div1,chipolacollege,2021
20,Dylan Goldstein,OF,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/dylangoldsteinm0q9,dylangoldsteinm0q9,Chipola,2020-21,div1,chipolacollege,2021
21,Andre Tarver,OF,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/andretarvereppg,andretarvereppg,Chipola,2020-21,div1,chipolacollege,2021
22,Andrew Moore,RHP,Sophomore,https://www.njcaa.org/sports/bsb/2020-21/div1/players/andrewmooreur3n,andrewmooreur3n,Chipola,2020-21,div1,chipolacollege,2021
23,Michael Esposito,P,So,https://www.njcaa.org/sports/bsb/2020-21/div1/players/michaelespositofmnr,michaelespositofmnr,Chipola,2020-21,div1,chipolacollege,2021
24,Zac Rice,OF,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/zacricei662,zacricei662,Chipola,2020-21,div1,chipolacollege,2021
25,Cedric De Grandpre,RHP,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/cedricdegrandpre44wx,cedricdegrandpre44wx,Chipola,2020-21,div1,chipolacollege,2021
27,Luis Guerrero,P,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/luisguerrerowzy0,luisguerrerowzy0,Chipola,2020-21,div1,chipolacollege,2021
29,Jaylen Nowlin,P,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/jaylennowlin8h70,jaylennowlin8h70,Chipola,2020-21,div1,chipolacollege,2021
31,Cesar Franco,OF,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/cesarfrancomvp0,cesarfrancomvp0,Chipola,2020-21,div1,chipolacollege,2021
33,David Castillo,C,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/davidcastillohlus,davidcastillohlus,Chipola,2020-21,div1,chipolacollege,2021
39,Turner Toms,P,Sophomore,https://www.njcaa.org/sports/bsb/2020-21/div1/players/turnertoms7tpf,turnertoms7tpf,Chipola,2020-21,div1,chipolacollege,2021
44,Lyle Miller-Green,1B,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/lylemillergreenzh9o,lylemillergreenzh9o,Chipola,2020-21,div1,chipolacollege,2021
55,Logan Austin,P,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/loganaustinx02l,loganaustinx02l,Chipola,2020-21,div1,chipolacollege,2021
,Dawson Rutherford,C,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/dawsonrutherfordwr8h,dawsonrutherfordwr8h,Chipola,2020-21,div1,chipolacollege,2021
,Jake Simon,P,Sophomore,https://www.njcaa.org/sports/bsb/2020-21/div1/players/jakesimon0fk0,jakesimon0fk0,Chipola,2020-21,div1,chipolacollege,2021
,Loren Waldron,C,Freshman,https://www.njcaa.org/sports/bsb/2020-21/div1/players/lorenwaldronmws8,lorenwaldronmws8,Chipola,2020-21,div1,chipolacollege,2021
