No.,Name,Position,Year,PlayerURL,PlayerID,team_name,team_njcaa_season,team_njcaa_division,team_id,team_season
1,Nick McElroy,OF/RHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/nickmcelroy2btw,nickmcelroy2btw,Shawnee,2021-22,div1,shawneecommunitycollege,2022
2,Justin Moses,MIF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/justinmoses53nh,justinmoses53nh,Shawnee,2021-22,div1,shawneecommunitycollege,2022
3,Cody Jones,OF/LHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/codyjones8i4r,codyjones8i4r,Shawnee,2021-22,div1,shawneecommunitycollege,2022
4,Lane Ross,OF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/lanerossjvms,lanerossjvms,Shawnee,2021-22,div1,shawneecommunitycollege,2022
5,Seth Jones,OF/1B/RHP,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/sethjonesfjal,sethjonesfjal,Shawnee,2021-22,div1,shawneecommunitycollege,2022
6,Josh Wilson,LHP/OF,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/joshwilson8eog,joshwilson8eog,Shawnee,2021-22,div1,shawneecommunitycollege,2022
7,Drake Gravatt,OF,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/drakegravattqxts,drakegravattqxts,Shawnee,2021-22,div1,shawneecommunitycollege,2022
8,Jacob Brown,RHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/jacobbrown6zvz,jacobbrown6zvz,Shawnee,2021-22,div1,shawneecommunitycollege,2022
9,Holden Newton,OF,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/holdennewtonesg7,holdennewtonesg7,Shawnee,2021-22,div1,shawneecommunitycollege,2022
10,Brandon Morris,RHP,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/brandonmorris9eui,brandonmorris9eui,Shawnee,2021-22,div1,shawneecommunitycollege,2022
11,Adrian Stout,MIF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/adrianstoutuwp9,adrianstoutuwp9,Shawnee,2021-22,div1,shawneecommunitycollege,2022
12,Will Hannah,OF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/willhannah5qfo,willhannah5qfo,Shawnee,2021-22,div1,shawneecommunitycollege,2022
13,Adam McClanahan,RHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/adammcclanahann58u,adammcclanahann58u,Shawnee,2021-22,div1,shawneecommunitycollege,2022
14,Kanon Webb,MIF/RHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/kanonwebb6g1y,kanonwebb6g1y,Shawnee,2021-22,div1,shawneecommunitycollege,2022
15,Trae Davis,RHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/traedavis577a,traedavis577a,Shawnee,2021-22,div1,shawneecommunitycollege,2022
16,Parker Holland,LHP,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/parkerholland4gt0,parkerholland4gt0,Shawnee,2021-22,div1,shawneecommunitycollege,2022
20,Eli Williamson,OF/RHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/eliwilliamson59dl,eliwilliamson59dl,Shawnee,2021-22,div1,shawneecommunitycollege,2022
22,Deandre Tucker,MIF,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/deandretuckersi88,deandretuckersi88,Shawnee,2021-22,div1,shawneecommunitycollege,2022
23,Brier VanEycke,IF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/briervaneyckequql,briervaneyckequql,Shawnee,2021-22,div1,shawneecommunitycollege,2022
24,Marcel Vitale,RHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/marcelvitaletbgb,marcelvitaletbgb,Shawnee,2021-22,div1,shawneecommunitycollege,2022
25,Drew Tyson,IF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/drewtyson09fi,drewtyson09fi,Shawnee,2021-22,div1,shawneecommunitycollege,2022
26,Jake Hyde,1B/LHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/jakehyde4nv6,jakehyde4nv6,Shawnee,2021-22,div1,shawneecommunitycollege,2022
27,Brendon Gallaher,OF/LHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/brendongallaherc3bt,brendongallaherc3bt,Shawnee,2021-22,div1,shawneecommunitycollege,2022
28,Jeremy Choat,C/1B,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/jeremychoatau2q,jeremychoatau2q,Shawnee,2021-22,div1,shawneecommunitycollege,2022
29,Gus Garner,RHP,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/gusgarner36c2,gusgarner36c2,Shawnee,2021-22,div1,shawneecommunitycollege,2022
30,Jared Moses,C/IF,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/jaredmoses893h,jaredmoses893h,Shawnee,2021-22,div1,shawneecommunitycollege,2022
31,Chris Maxwell,C,Fr,https://www.njcaa.org//sports/bsb/2021-22/div1/players/chrismaxwellazev,chrismaxwellazev,Shawnee,2021-22,div1,shawneecommunitycollege,2022
35,Austin Alspauch,RHP,So,https://www.njcaa.org//sports/bsb/2021-22/div1/players/austinalspauchkw5k,austinalspauchkw5k,Shawnee,2021-22,div1,shawneecommunitycollege,2022
